구분,대인,소인,계
2008-07-19,507,178,685
2008-07-20,174,126,300
2008-07-21,0,0,0
2008-07-22,286,74,360
2008-07-23,124,54,178
2008-07-24,253,77,330
2008-07-25,263,306,569
2008-07-26,733,832,1565
2008-07-27,226,149,375
2008-07-28,0,0,0
2008-07-29,258,134,392
2008-07-30,242,113,355
2008-07-31,219,211,430
2008-08-01,175,158,333
2008-08-02,363,305,668
2008-08-03,166,143,309
2008-08-04,0,0,0
2008-08-05,197,245,442
2008-08-06,260,156,416
2008-08-07,183,213,396
2008-08-08,197,196,393
2008-08-09,250,297,547
2008-08-10,168,170,338
2008-08-11,0,0,0
2008-08-12,247,130,377
2008-08-13,116,109,225
2008-08-14,152,166,318
2008-08-15,262,230,492
2008-08-16,539,459,998
2008-08-17,253,229,482
2008-08-18,0,0,0
2008-08-19,295,253,548
2008-08-20,184,147,331
2008-08-21,101,97,198
2008-08-22,255,130,385
2008-08-23,3160,872,4032
2008-08-24,246,240,486
2008-08-25,0,0,0
2008-08-26,131,22,153
2008-08-27,175,24,199
2008-08-28,402,174,576
2008-08-29,228,18,246
2008-08-30,303,441,744
2008-08-31,152,114,266
2008-09-01,0,0,0
2008-09-02,82,141,223
2008-09-03,205,146,351
2008-09-04,73,248,321
2008-09-05,340,140,480
2008-09-06,843,494,1337
2008-09-07,390,138,528
2008-09-08,0,0,0
2008-09-09,212,379,591
2008-09-10,55,133,188
2008-09-11,219,154,373
2008-09-12,35,133,168
2008-09-13,208,366,574
2008-09-14,239,367,606
2008-09-15,213,376,589
2008-09-16,104,195,299
2008-09-17,94,210,304
2008-09-18,275,132,407
2008-09-19,187,558,745
2008-09-20,366,481,847
2008-09-21,165,208,373
2008-09-22,0,0,0
2008-09-23,153,137,290
2008-09-24,445,162,607
2008-09-25,192,123,315
2008-09-26,141,174,315
2008-09-27,706,663,1369
2008-09-28,255,160,415
2008-09-29,0,0,0
2008-09-30,70,573,643
2008-10-01,151,192,343
2008-10-02,239,118,357
2008-10-03,132,135,267
2008-10-04,311,690,1001
2008-10-05,152,110,262
2008-10-06,0,0,0
2008-10-07,75,31,106
2008-10-08,263,108,371
2008-10-09,302,846,1148
2008-10-10,169,394,563
2008-10-11,397,393,790
2008-10-12,427,143,570
2008-10-13,0,0,0
2008-10-14,460,76,536
2008-10-15,117,316,433
2008-10-16,362,128,490
2008-10-17,349,135,484
2008-10-18,260,339,599
2008-10-19,264,317,581
2008-10-20,0,0,0
2008-10-21,566,91,657
2008-10-22,198,415,613
2008-10-23,385,57,442
2008-10-24,200,197,397
2008-10-25,988,666,1654
2008-10-26,501,385,886
2008-10-27,0,0,0
2008-10-28,650,515,1165
2008-10-29,373,20,393
2008-10-30,224,53,277
2008-10-31,306,137,443
2008-11-01,352,371,723
2008-11-02,403,238,641
2008-11-03,0,0,0
2008-11-04,173,25,198
2008-11-05,54,66,120
2008-11-06,128,371,499
2008-11-07,226,42,268
2008-11-08,355,234,589
2008-11-09,342,156,498
2008-11-10,0,0,0
2008-11-11,149,36,185
2008-11-12,111,21,132
2008-11-13,70,18,88
2008-11-14,142,75,217
2008-11-15,198,128,326
2008-11-16,512,190,702
2008-11-17,0,0,0
2008-11-18,356,173,529
2008-11-19,201,6,207
2008-11-20,146,133,279
2008-11-21,66,58,124
2008-11-22,359,268,627
2008-11-23,177,139,316
2008-11-24,0,0,0
2008-11-25,548,5,553
2008-11-26,302,208,510
2008-11-27,338,108,446
2008-11-28,37,45,82
2008-11-29,145,841,986
2008-11-30,161,144,305
2008-12-01,0,0,0
2008-12-02,177,32,209
2008-12-03,344,112,456
2008-12-04,73,11,84
2008-12-05,314,485,799
2008-12-06,158,88,246
2008-12-07,114,82,196
2008-12-08,0,0,0
2008-12-09,187,9,196
2008-12-10,570,21,591
2008-12-11,222,55,277
2008-12-12,70,580,650
2008-12-13,312,254,566
2008-12-14,167,129,296
2008-12-15,0,0,0
2008-12-16,248,21,269
2008-12-17,172,345,517
2008-12-18,103,297,400
2008-12-19,51,70,121
2008-12-20,434,184,618
2008-12-21,81,72,153
2008-12-22,0,0,0
2008-12-23,182,92,274
2008-12-24,168,360,528
2008-12-25,355,246,601
2008-12-26,196,38,234
2008-12-27,276,249,525
2008-12-28,211,151,362
2008-12-29,0,0,0
2008-12-30,92,64,156
2008-12-31,73,54,127
2009-01-01,0,0,0
2009-01-02,141,112,253
2009-01-03,203,144,347
2009-01-04,162,141,303
2009-01-05,10,9,19
2009-01-06,80,91,171
2009-01-07,81,60,141
2009-01-08,68,40,108
2009-01-09,58,49,107
2009-01-10,310,303,613
2009-01-11,171,148,319
2009-01-12,191,10,201
2009-01-13,356,35,391
2009-01-14,305,44,349
2009-01-15,258,51,309
2009-01-16,251,75,326
2009-01-17,214,392,606
2009-01-18,163,138,301
2009-01-19,27,40,67
2009-01-20,66,283,349
2009-01-21,202,316,518
2009-01-22,94,94,188
2009-01-23,44,30,74
2009-01-24,245,222,467
2009-01-25,103,108,211
2009-01-26,281,248,529
2009-01-27,266,284,550
2009-01-28,62,58,120
2009-01-29,85,80,165
2009-01-30,66,54,120
2009-01-31,276,479,755
2009-02-01,333,262,595
2009-02-02,0,0,0
2009-02-03,128,160,288
2009-02-04,130,112,242
2009-02-05,93,67,160
2009-02-06,83,166,249
2009-02-07,309,288,597
2009-02-08,399,417,816
2009-02-09,60,9,69
2009-02-10,98,70,168
2009-02-11,149,26,175
2009-02-12,444,61,505
2009-02-13,217,84,301
2009-02-14,203,199,402
2009-02-15,195,178,373
2009-02-16,11,35,46
2009-02-17,199,22,221
2009-02-18,292,114,406
2009-02-19,230,136,366
2009-02-20,149,37,186
2009-02-21,326,294,620
2009-02-22,282,239,521
2009-02-23,7,8,15
2009-02-24,364,136,500
2009-02-25,288,206,494
2009-02-26,155,196,351
2009-02-27,157,90,247
2009-02-28,587,253,840
,,,0
2009-03-01,454,187,641
2009-03-02,2,4,6
2009-03-03,46,7,53
2009-03-04,274,12,286
2009-03-05,62,14,76
2009-03-06,55,13,68
2009-03-07,143,147,290
2009-03-08,210,229,439
2009-03-09,0,0,0
2009-03-10,101,11,112
2009-03-11,69,31,100
2009-03-12,58,8,66
2009-03-13,40,9,49
2009-03-14,238,203,441
2009-03-15,247,265,512
2009-03-16,3,1,4
2009-03-17,49,46,95
2009-03-18,41,11,52
2009-03-19,88,231,319
2009-03-20,55,48,103
2009-03-21,187,203,390
2009-03-22,197,209,406
2009-03-23,0,0,0
2009-03-24,39,44,83
2009-03-25,167,97,264
2009-03-26,114,34,148
2009-03-27,82,83,165
2009-03-28,268,290,558
2009-03-29,221,204,425
2009-03-30,5,7,12
2009-03-31,401,92,493
2009-04-01,200,5,205
2009-04-02,323,47,370
2009-04-03,69,9,78
2009-04-04,287,253,540
2009-04-05,203,177,380
2009-04-06,2,3,5
2009-04-07,68,19,87
2009-04-08,140,38,178
2009-04-09,73,5,78
2009-04-10,101,7,108
2009-04-11,549,520,1069
2009-04-12,180,113,293
2009-04-13,184,2,186
2009-04-14,111,41,152
2009-04-15,182,55,237
2009-04-16,151,51,202
2009-04-17,67,268,335
2009-04-18,762,701,1463
2009-04-19,233,251,484
2009-04-20,93,0,93
2009-04-21,235,105,340
2009-04-22,95,10,105
2009-04-23,47,184,231
2009-04-24,138,6,144
2009-04-25,529,384,913
2009-04-26,225,182,407
2009-04-27,92,0,92
2009-04-28,532,10,542
2009-04-29,427,143,570
2009-04-30,50,181,231
2009-05-01,302,36,338
2009-05-02,392,832,1224
2009-05-03,354,1386,1740
2009-05-04,203,1136,1339
2009-05-05,1199,3075,4274
2009-05-06,42,112,154
2009-05-07,155,202,357
2009-05-08,256,277,533
2009-05-09,399,832,1231
2009-05-10,142,517,659
2009-05-11,102,20,122
2009-05-12,205,174,379
2009-05-13,156,12,168
2009-05-14,126,51,177
2009-05-15,103,57,160
2009-05-16,306,292,598
2009-05-17,309,284,593
2009-05-18,148,0,148
2009-05-19,539,217,756
2009-05-20,157,186,343
2009-05-21,110,208,318
2009-05-22,234,73,307
2009-05-23,1435,1586,3021
2009-05-24,895,535,1430
2009-05-25,92,0,92
2009-05-26,1498,960,2458
2009-05-27,313,201,514
2009-05-28,112,96,208
2009-05-29,111,118,229
2009-05-30,297,758,1055
2009-05-31,248,426,674
2009-06-01,92,0,92
2009-06-02,269,8,277
2009-06-03,377,68,445
2009-06-04,408,57,465
2009-06-05,314,158,472
2009-06-06,208,245,453
2009-06-07,267,226,493
2009-06-08,92,0,92
2009-06-09,277,100,377
2009-06-10,431,11,442
2009-06-11,496,12,508
2009-06-12,87,22,109
2009-06-13,616,728,1344
2009-06-14,207,188,395
2009-06-15,95,13,108
2009-06-16,312,225,537
2009-06-17,179,128,307
2009-06-18,205,9,214
2009-06-19,57,604,661
2009-06-20,200,398,598
2009-06-21,332,251,583
2009-06-22,217,10,227
2009-06-23,161,175,336
2009-06-24,232,232,464
2009-06-25,140,153,293
2009-06-26,158,75,233
2009-06-27,416,388,804
2009-06-28,363,316,679
2009-06-29,179,6,185
2009-06-30,384,422,806
2009-07-01,232,19,251
2009-07-02,296,14,310
2009-07-03,146,57,203
2009-07-04,159,349,508
2009-07-05,314,270,584
2009-07-06,209,2,211
2009-07-07,196,77,273
2009-07-08,177,15,192
2009-07-09,272,8,280
2009-07-10,91,23,114
2009-07-11,399,494,893
2009-07-12,266,276,542
2009-07-13,432,530,962
2009-07-14,66,17,83
2009-07-15,499,156,655
2009-07-16,595,80,675
2009-07-17,320,33,353
2009-07-18,322,236,558
2009-07-19,639,488,1127
2009-07-20,178,22,200
2009-07-21,99,142,241
2009-07-22,335,240,575
2009-07-23,315,101,416
2009-07-24,231,84,315
2009-07-25,1012,745,1757
2009-07-26,634,471,1105
2009-07-27,237,20,257
2009-07-28,142,175,317
2009-07-29,457,457,914
2009-07-30,323,179,502
2009-07-31,493,521,1014
2009-08-01,329,276,605
2009-08-02,360,431,791
2009-08-03,161,130,291
2009-08-04,193,263,456
2009-08-05,207,157,364
2009-08-06,528,225,753
2009-08-07,315,149,464
2009-08-08,469,487,956
2009-08-09,490,406,896
2009-08-10,48,70,118
2009-08-11,197,153,350
2009-08-12,114,141,255
2009-08-13,332,129,461
2009-08-14,555,335,890
2009-08-15,767,550,1317
2009-08-16,432,497,929
2009-08-17,72,57,129
2009-08-18,159,428,587
2009-08-19,146,162,308
2009-08-20,113,173,286
2009-08-21,131,256,387
2009-08-22,370,362,732
2009-08-23,325,281,606
2009-08-24,30,5,35
2009-08-25,438,92,530
2009-08-26,220,129,349
2009-08-27,216,24,240
2009-08-28,247,14,261
2009-08-29,1656,1845,3501
2009-08-30,1379,929,2308
2009-08-31,85,6,91
2009-09-01,402,19,421
2009-09-02,95,73,168
2009-09-03,150,59,209
2009-09-04,84,28,112
2009-09-05,350,759,1109
2009-09-06,329,288,617
2009-09-07,40,8,48
2009-09-08,46,218,264
2009-09-09,63,36,99
2009-09-10,176,28,204
2009-09-11,148,50,198
2009-09-12,750,724,1474
2009-09-13,292,223,515
2009-09-14,69,39,108
2009-09-15,63,18,81
2009-09-16,139,49,188
2009-09-17,136,22,158
2009-09-18,52,153,205
2009-09-19,193,267,460
2009-09-20,215,312,527
2009-09-21,196,0,196
2009-09-22,236,40,276
2009-09-23,102,356,458
2009-09-24,262,13,275
2009-09-25,68,67,135
2009-09-26,561,649,1210
2009-09-27,491,634,1125
2009-09-28,274,4,278
2009-09-29,28,4,32
2009-09-30,158,130,288
2009-10-01,46,30,76
2009-10-02,178,207,385
2009-10-03,475,336,811
2009-10-04,315,254,569
2009-10-05,78,6,84
2009-10-06,58,13,71
2009-10-07,369,9,378
2009-10-08,356,99,455
2009-10-09,62,210,272
2009-10-10,370,462,832
2009-10-11,245,292,537
2009-10-12,203,12,215
2009-10-13,586,301,887
2009-10-14,519,653,1172
2009-10-15,766,679,1445
2009-10-16,75,259,334
2009-10-17,186,602,788
2009-10-18,655,899,1554
2009-10-19,166,14,180
2009-10-20,60,15,75
2009-10-21,298,115,413
2009-10-22,153,67,220
2009-10-23,76,59,135
2009-10-24,403,414,817
2009-10-25,269,255,524
2009-10-26,428,16,444
2009-10-27,260,14,274
2009-10-28,320,141,461
2009-10-29,258,19,277
2009-10-30,91,15,106
2009-10-31,224,332,556
2009-11-01,289,214,503
2009-11-02,141,1,142
2009-11-03,113,12,125
2009-11-04,175,11,186
2009-11-05,198,24,222
2009-11-06,77,45,122
2009-11-07,350,359,709
2009-11-08,212,188,400
2009-11-09,286,3,289
2009-11-10,275,4,279
2009-11-11,156,11,167
2009-11-12,306,12,318
2009-11-13,223,119,342
2009-11-14,349,353,702
2009-11-15,222,189,411
2009-11-16,149,0,149
2009-11-17,340,12,352
2009-11-18,281,13,294
2009-11-19,241,28,269
2009-11-20,115,149,264
2009-11-21,176,187,363
2009-11-22,207,240,447
2009-11-23,198,0,198
2009-11-24,213,75,288
2009-11-25,224,803,1027
2009-11-26,460,39,499
2009-11-27,94,470,564
2009-11-28,525,508,1033
2009-11-29,271,270,541
2009-11-30,159,4,163
2009-12-01,292,336,628
2009-12-02,577,8,585
