"","title","code","audience_male","audience_female"
"1249","올드 미스 다이어리 - 극장판","57794",NA,NA
"1250","드럼라인","36506",NA,NA
"1251","감바의 대모험","144355","24%","76%"
"1252","콘스탄트 가드너","43370",NA,NA
"1253","데스 레이스","47407",NA,NA
"1254","마이펫의 이중생활","134980","25%","75%"
"1255","내 아내의 모든 것","89606",NA,NA
"1256","아이다호","10758",NA,NA
"1257","결혼은 미친 짓이다","31893",NA,NA
"1258","마음이 2","73096",NA,NA
"1259","초한지: 영웅의 부활","83865",NA,NA
"1260","트레이닝 데이","32240",NA,NA
"1261","버틀러: 대통령의 집사","93757",NA,NA
"1262","더 이퀄라이저","109642","67%","33%"
"1263","색, 계","61101","40%","60%"
"1264","내일의 기억","46153",NA,NA
"1265","스머프: 비밀의 숲","118966","22%","78%"
"1266","백설공주 살인사건","122602","50%","50%"
"1267","더 폴: 오디어스와 환상의 문","66317",NA,NA
"1268","가디언즈 오브 갤럭시","97857","61%","39%"
"1269","실미도","34501",NA,NA
"1270","컨스피러시","18429",NA,NA
"1271","가려진 시간","141259","37%","63%"
"1272","우리 개 이야기","43114",NA,NA
"1273","싸이보그 그녀","65902",NA,NA
"1274","사이드웨이","39619",NA,NA
"1275","아폴로 13","17692",NA,NA
"1276","눈의 여왕3: 눈과 불의 마법대결","156675","17%","83%"
"1277","바다 탐험대 옥토넛 시즌4: 늪지탐험선K","149505","24%","76%"
"1278","골드","143379","75%","25%"
"1279","트래쉬","114293","39%","61%"
"1280","코리아","81891",NA,NA
"1281","꿈의 제인","154980","22%","78%"
"1282","13층","24831",NA,NA
"1283","로렉스","84034",NA,NA
"1284","키사라기 미키짱","68501",NA,NA
"1285","태양은 없다","23848",NA,NA
"1286","발레리나","130984","21%","79%"
"1287","기사 윌리엄","32478",NA,NA
"1288","리틀 디제이","47408",NA,NA
"1289","레드 스패로","151744","59%","41%"
"1290","분노","142730","36%","64%"
"1291","내일을 위한 시간","123298","44%","56%"
"1292","세상에서 고양이가 사라진다면","150632","40%","60%"
"1293","족구왕","103797","47%","53%"
"1294","오싹한 연애","78851",NA,NA
"1295","심야식당2","156091","50%","50%"
"1296","람보 : 라스트 워","129282","79%","21%"
"1297","창","18487",NA,NA
"1298","와호장룡","29712",NA,NA
"1299","올가미","18572",NA,NA
"1300","엘리트 스쿼드","47088",NA,NA
"1301","데드 맨 워킹","17744",NA,NA
"1302","노예 12년","90901","45%","55%"
"1303","신비아파트 극장판 하늘도깨비 대 요르문간드","189046","24%","76%"
"1304","단테스 피크","18015",NA,NA
"1305","벨벳 골드마인","25670","19%","81%"
"1306","슈렉 2","34519",NA,NA
"1307","몽타주","96911",NA,NA
"1308","사랑할 때 버려야 할 아까운 것들","37938",NA,NA
"1309","윈드 리버","149757","66%","34%"
"1310","뉴 폴리스 스토리","39479",NA,NA
"1311","덤 앤 더머","17025",NA,NA
"1312","극장판 포켓 몬스터 DP - 아르세우스 초극의 시공으로","70118",NA,NA
"1313","엽문3: 최후의 대결","112082",NA,NA
"1314","강철중: 공공의 적 1-1","68217",NA,NA
"1315","개구쟁이 스머프","65893",NA,NA
"1316","맨 프럼 어스","48690",NA,NA
"1317","그녀","101950","38%","62%"
"1318","레디 플레이어 원","136898","64%","36%"
"1319","스파이더위크가의 비밀","67366",NA,NA
"1320","장고:분노의 추적자","87311",NA,NA
"1321","록키 호러 픽쳐 쇼","18933","12%","88%"
"1322","미드나잇 인 파리","74610","39%","61%"
"1323","사우스포","81967","56%","44%"
"1324","퀼","38455",NA,NA
"1325","화씨 9/11","38547",NA,NA
"1326","중독노래방","126961","43%","57%"
"1327","혹성탈출: 반격의 서막","99740","59%","41%"
"1328","메리에겐 뭔가 특별한 것이 있다","19334",NA,NA
"1329","세이프 헤이븐","99799",NA,NA
"1330","BB 프로젝트","62742",NA,NA
"1331","레드 드래곤","35733",NA,NA
"1332","렛 미 인","49957",NA,NA
"1333","도리를 찾아서","97629","26%","74%"
"1334","러브 라이브! 더 스쿨 아이돌 무비","140895","71%","29%"
"1335","괴물의 아이","134134","47%","53%"
"1336","레이디 버드","158611","22%","78%"
"1337","빅쇼트","136842","56%","44%"
"1338","쩨쩨한 로맨스","75724",NA,NA
"1339","정글","158623","50%","50%"
"1340","훌라 걸스","63483",NA,NA
"1341","몬테 크리스토 백작","33048",NA,NA
"1342","웜 바디스","92047",NA,NA
"1343","졸업","10453","78%","22%"
"1344","재심","149512","51%","49%"
"1345","양지의 그녀","100076","18%","82%"
"1346","짱구는 못말려 극장판：엄청 맛있어! B급 음식 서바이벌!","103241","28%","72%"
"1347","오빠생각","136686","41%","59%"
"1348","로스트 인 더스트","137971","65%","35%"
"1349","극한직업","167651","45%","55%"
"1350","더 문","53902",NA,NA
"1351","파퍼씨네 펭귄들","82142",NA,NA
"1352","아이언 마스크","19078",NA,NA
"1353","백엔의 사랑","131637","23%","77%"
"1354","더 콘서트","72443",NA,NA
"1355","매치스틱 맨","36853",NA,NA
"1356","마스터 앤드 커맨더: 위대한 정복자","37686",NA,NA
